ID,Built-In (no install),Online (no install),Need to install,Works w/o internet,FREE,Trial,Lifetime License,Subscription,Spare1,Reading,Writing,Exec / Focus,Cognitive,Vision,Braille,Hearing,Physical,Speech/Comm,Training / Therapy,Windows,Macintosh,Chromebook,iPad (iPadOS),iPhone (iOS),Android,(**online - mark all),Works with which OS versions,ID TAG,COMPANY,PRODUCT/FEATURE NAME,DESCRIPTION,VENDOR'S WEBSITE DESC LINK,YOUTUBE VIDEOS,AToD installer (short name),Data-Entry-Person NOTES,INTERNAL NOTES,AUDITOR NOTES
257,,,I,,,,L,,,,,,,,,H,,S,,,,,P,I,,,"iOS 8.1 or later, macOS 11.0 or later and a Mac with Apple M1 chip or later.",navanit_arakeri_flip_writer_aac,Navanit Arakeri,Flip Writer AAC,"Flip Writer AAC is an app that delivers tools for adults and children relating to speech. Users can type a message on Flip Writer, and this message is displayed on two displays, one facing them and a second outfacing display for their communication partner(s). It also has built-in speech recognition that allows communication partners to speak into the app and have their speech converted to large and legible text that can be easily read.",https://www.flipwriteraac.org/,https://youtu.be/6KlgRX_12WY?si=NQuctWjGHgvGaUMA,,Approximate Cost: $49.99,,"- Also works with macOS 11.0 or later and a Mac with Apple M1 chip or later.

- Price for iPhone is $24.99"
258,,,I,,,T,,S,,,,,,,,,P,,,,,,,I,A,,,dragon_anywhere_mobile,Nuance Communications,Dragon Anywhere Mobile,"Dragon Anywhere is a smartphone app that lets you create and edit documents using just your voice. It's like having a super-accurate assistant that types whatever you say, even when you're not at your desk! You can dictate long reports, emails, or even fill out forms, all hands-free and on the go.",https://www.nuance.com/dragon/dragon-anywhere.html,https://youtu.be/rnsqVawvuJU?si=lbuvudbUyVkz7pgn,,,,"More detailed OS requirement is listed at: https://www.nuance.com/asset/en_us/collateral/dragon/data-sheet/ds-dragon-anywhere-en-us.pdf

Description could come across as a little too marketing-isk."
259,,O,,,,T,,S,,,,,,,,,P,,,W,M,C,P,I,A,O,,dragon_prof_anywhere,Nuance Communications,Dragon Professional Anywhere,"Dragon Professional Anywhere is a cloud-based app that lets you create documents, emails, and more using just your voice. It's like having a super-accurate personal assistant who types everything you say, no matter where you are or what device you're using. Plus, it syncs your work across all your devices, so you can seamlessly pick up where you left off, even on the go!",https://www.nuance.com/dragon/business-solutions/dragon-professional-anywhere.html,https://youtu.be/otmVHC510Jo?si=WXcRoVM-x51Uh9zs,,,,"OS requirement is missing, could be found here
https://www.nuance.com/asset/en_us/collateral/dragon/data-sheet/ds-dragon-professional-anywhere-en-us.pdf

The description is a little too marketing-isk."
260,,,I,,,,L,,,,,,,,,,P,,,W,,,,,,,,dragon_professional,Nuance Communications,Dragon Professional v16,"Dragon Professional v16 is software that lets you use your voice to control your computer and create documents. It's incredibly accurate, so you can dictate emails, reports, and even code without typing. This frees your hands and can be a major productivity boost, especially if you have difficulty typing or just want to work more efficiently.",https://www.nuance.com/dragon/business-solutions/dragon-professional.html,https://www.youtube.com/watch?v=G2m0kUkYHuQ,,,,"OS requirement is missing, could be found here
https://www.nuance.com/asset/en_us/collateral/dragon/data-sheet/ds-dragon-professional-v16-en-us.pdf

Description could be a little too marketing-isk, e.g. ""It's incredibly accurate"".

The video walkthrough might be a little too long."
261,,,I,,F,,,,,,,,,V,,,,,,W,,,,,,,"Windows: all 32-bit and 64-bit editions of Windows 8.1, Windows 10, Windows 11, and all Server Operating Systems starting from Windows Server 2012 R2",nvda,nvAccess,NVDA,"NVDA (Non-Visual Desktop Access) is free screen reader for Windows that helps people who are blind and low vision access and interact with their Windows computers and other computer applications.  It works by reading aloud what's on the screen, like text, buttons, and even web pages. You can navigate your computer using your keyboard or a Braille display. NVDA supports popular programs like web browsers, Microsoft Word, and Excel, and it can even read PDFs and text under the mouse pointer. NVDA is available in over 50 languages.  NVDA will also support dynamic braille displays as well as voice output.",https://www.nvaccess.org/download/,"https://www.youtube.com/watch?v=Jao3s_CwdRU&t=20s
https://youtu.be/Ks7AwV_uxO0?si=_wyDZrJ7TTmPLxr9
https://youtu.be/tCFyyqy9mqo?si=fX0IzDO5qpU3Qo_Q",nvda,,,
262,,,I,,,,L,,,,W,,,,,,,,,,,,P,I,,,"iOS 14.0 or later, iPadOS 14.0 or later",vdwrite,Opus Noma LLC,VDWrite,"Voice Dream Writer helps improve writing with text-to-speech proofreading, phonetic and meaning-based word search, and an automatic generated outline. It reads text aloud to help users catch mistakes and awkward sentences, while the Word Finder suggests the right words and shows definitions. The active outline allows navigation and reorganization of text. The app also supports customizable text appearance, spellcheck, iCloud sync, and export to other apps, like Microsoft Word. ",https://vdwrite.app/,https://youtu.be/pHyiEF2h_EY,,,,
263,,O,I,,F,T,,S,N,,W,,,,,H,P,,,W,M,C,P,I,A,O,"Requires iOS 15.0 or later.
Android Lollipop 5.0 & above",otter_ai,Otter,Otter.ai,"Otter.ai is a cloud-based transcription service that uses artificial intelligence to convert spoken words into written text. It’s popular among professionals, students, and organizations for its ability to transcribe meetings, lectures, interviews, and other spoken content accurately and quickly. Otter.ai is available as a web application and a mobile app, making it versatile and accessible across devices.",https://otter.ai/,https://www.youtube.com/watch?v=SyqipCxv0EY&ab_channel=ElegantThemes,,"Categorized under Free Trial, Cognition, and added Android minimum requirements",,"Some versions also have a 7-day free trial
Could also support Cognition
android device compatibility lollipop 5.0 and above"
264,,,I,,,T,,S,,,,,,,,,P,,,W,,,,,,,"Microsoft Windows® 8, 10 and 11.",smylemouse,Perceptive Devices,Smyle Mouse,"Software for mouse control via head & face gestures. Uses only a webcam. For pain or disabilities of hands — Carpal Tunnel, Multiple Sclerosis, Spinal Cord Injury & more. Patented hands-free mouse assistive technology.",https://smylemouse.com/,https://www.youtube.com/watch?v=y742vIUL9KA&embeds_referring_euri=https%3A%2F%2Fsmylemouse.com%2F&source_ve_path=MjM4NTE,,,,
265,,,I,,,T,L,,O,R,,,,V,,,,,,W,M,,,,,,"Requires macOS 10.15.0 or later.
Windows XP, Vista, or 7",pneumasolutions_docuscan,Pneuma Solutions,DocuScan Plus,"DocuScan Plus is the most versatile compatible OCR package of its kind. It is the first fully accessible, Internet-based scanning and reading software for the blind and visually challenged that works with both Windows and the Mac. Using a variety of popular scanners or a HoverCam document camera in conjunction with DocuScan Plus, you can convert printed materials and PDF files into text and access your converted documents at a public library, in your office, or on your commute with a mobile device. Connect with one of our helpful customer service representatives to learn more.",http://www.docuscanplus.com/,https://www.youtube.com/watch?v=uXIJOxs6jes,,,,Accessibility Anywhere! - YouTube
266,,,I,,,,,S,N,,W,,,V,,H,P,,,W,M,C,P,I,A,,,pneuma_scribe,Pneuma Solutions,Scribe for Meetings,"Scribe for Meetings helps make your Zoom or Microsoft Teams screen shares accessible for all participants, particularly those using screen readers or screen magnification. By synchronizing with the presenter’s uploaded slides, Scribe allows users to view content in real-time in a separate window, ensuring an inclusive experience for everyone.",https://pneumasolutions.com/scribe-for-meetings/,https://www.youtube.com/watch?v=TH4a4UaEwXg&t=1s,,There is no information on OS versions as it works through Zoom and Microsoft Teams,,"For some reason the desicription link is taking to a list of tools available instead of just ""scribe-for-meetings"". Copy pasting the link works."
267,,,I,,F,,,S,,,,,,V,,,,,,W,M,,P,I,A,,,pneuma_sero,Pneuma Solutions,Sero,"Sero by Pneuma Solutions is a user-friendly social network and multimedia platform tailored for individuals who are blind. It offers a variety of tools to help users manage tasks, stay connected with others, and access entertainment. With Sero, users can easily access news, audio content, books, and podcasts in formats designed to be fully accessible. The platform promotes independence and fosters engagement through its intuitive interface, making it easier for users to remain informed and entertained.",https://pneumasolutions.com/products/sero/,,,,N/A,
268,,,I,,F,,,,,,,,,,,,P,,,W,,,,,,,"32 bit Windows application; Requirement: Windows® 95/98/NT4.x/Me/2000/XP/Vista/Windows 7/WIndows 8/Windows 10.
2. ",political_enterprises_pointnclick,"Polital Enterprises, LLC",Point-N-Click,"Point-N-Click is an on-screen virtual mouse designed for anyone with a disability that makes it difficult or impossible to click a physical computer mouse. As long as the mouse, trackball or another pointing device can be moved, mouse clicks can be sent to virtually any Windows application or DOS application that can run within a window and even many that are full screen.",https://www.polital.com/pnc/,N/A,,,There is no Youtube video online,"1. Requirement is Windows® 95/98/NT4.x/Me/2000/XP/Vista/Windows 7/WIndows 8/Windows 10.
2. "
269,,,I,,F,,,,,R,,,,V,,,,,,,,,P,I,A,,"iOS 9.0 and later, Android 5.0 and up",pratsam_reader,Pratsam,Pratsam Reader,"Pratsam Reader is an app that alllows users to listen to digital talking books and talking newspapers. Users can play content from accessible books service provider or play content from the internal memory of a device. The app supports streaming or download accessible books to the app, if the users service provider allows it. Users can also add publications to the app with a computer. You can select books from a bookshelf, navigate in the content by chapters, sections and page numbers, manage bookmarks, use a sleep timer, or change the playback speed. ",https://www.pratsam.com/pratsam-reader-app-product.html,https://youtu.be/apG0HOq60e0,,,Available only in finland,"1. Should note that this app is available from Finland only. Can't access if you're in the United States.
2. Description is a bit short. Could add more info such as ""Users can play content from accessible books service provider or play content from the internal memory of a device. The app supports streaming or download accessible books to the app, if the users service provider allows it. Users can also add publications to the app with a computer. You can select books from a bookshelf, navigate in the content by chapters, sections and page numbers, manage bookmarks, use a sleep timer, or change the playback speed."" 
3. Should also include Vision"
270,,,I,,F,T,,S,,R,,,,,,,,,,,M,,P,I,A,,"iOS 13.0 or later, iPadOS 13.0 or later,macOS 11.0 or later and a Mac with Apple M1 chip or later, Android 6.0 and up",neuralreader_android,Prompt Functions Inc.,Neural Reader Smarter Reading - Android,Neural Reader is an app that helps users read and understand text more easily. It uses text-to-speech with natural-sounding voices to create a human-like reading experience. It can help users multitask and reduce screen time. The app also has an AI feature to help users understand complex topics by answering questions about the input text.,https://play.google.com/store/apps/details?id=com.neuralreader.neural_reader&hl=en-US,,,,,
271,,,I,,F,T,,S,,R,,,,,,,,,,,M,,P,I,A,,"iOS 13.0 or later, iPadOS 13.0 or later,macOS 11.0 or later and a Mac with Apple M1 chip or later, Android 6.0 and up",neuralreader_ios,Prompt Functions Inc.,Neural Reader Smarter Reading - iOS,Neural Reader is an app that helps users read and understand text more easily. It uses text-to-speech with natural-sounding voices to create a human-like reading experience. It can help users multitask and reduce screen time. The app also has an AI feature to help users understand complex topics by answering questions about the input text.,https://apps.apple.com/us/app/neural-reader-smarter-reading/id1498396654,,,,,
272,,,I,,F,,,,,,,,,,,H,,,,W,M,,P,I,A,,"iPhone 4 or newer, iPad2 or newer, iPad Air, iPad Mini 1st generation or newer,",z5_p3_purplecommunications,"Purple Communications, Inc.",Z5/P3 ,"Z5/P3 is a VRS app for deaf and hard-of-hearing individuals, allowing them to make VP calls using Wi-Fi or cellular data. It includes text chat, the ability to share a follow-up number with an interpreter, and the power to block unwanted callers.",https://zpconnect.com/apps/z5-p3/,https://www.youtube.com/watch?v=_uA1orF4SS0,,,,
273,,,I,,,,L,,,R,W,,,,,,,,,W,M,C,P,,,,"Requires iPadOS 11.0 or later.
Windows 10
Mac OS 10 or later",quillsoft_wordq,Quillsoft,WordQ,"WordQ is an assistive writing tool designed to help individuals with learning difficulties, such as dyslexia, or those who struggle with writing and spelling. WordQ functions as a text-to-speech and word prediction software that aids users in composing text more accurately and confidently. It integrates seamlessly with other applications, allowing users to receive assistance in real-time as they type.",https://www.quillsoft.ca/for-higher-ed,"https://www.youtube.com/watch?v=qfLiYkQqLaU&ab_channel=QuillsoftLtd.
https://www.youtube.com/watch?v=qfLiYkQqLaU&ab_channel=QuillsoftLtd",,"Took out Android and iOS versions for iPhone, they do not have compatibility. Fixed minimum requirements",,"I couldn't find an Android or iOS version, if they do exist, could you add in version specifications for these platforms?

The OS requirements also doesn't look right. Please double check."
274,,,I,,F,,,,,R,,E,,V,,,P,,,W,M,,,,,,macOS: Big Sur to Sonoma; Windows 11,morphic,Raising the Floor,Morphic,Morphic is a tiny app that makes computers easier to use by 1. providing a toolbar that makes it easy to discover and use accessibility features built into computers and 2. allowing assistive technology (AT) users to use their AT on any computer that has Morphic installed.,https://morphic.org/morphic-basic/,https://www.youtube.com/watch?v=01b5OMq0gQg,,,,
275,,,I,,,T,,S,BE,R,,,,,,,,,,W,M,C,P,I,A,,"Browser extension available for Google Chrome, Microsoft Edge, Mozilla Firefox, and Opera One.",readspeaker,ReadSpeaker,ReadSpeaker,"ReadSpeaker TextAid is an assistive technology tool designed to support individuals with learning disabilities and literacy challenges by speech-enabling any text. It allows users to listen to content while text is highlighted, improving comprehension and independence. The tool works across various devices and formats, supporting documents like PDFs, scanned images, and web pages through OCR functionality. Users can also install browser extensions to easily read content from web pages, emails, and online documents. TextAid aims to help students and language learners build confidence, stay motivated, and achieve academic success.",https://www.readspeaker.com/solutions/text-to-speech-online/readspeaker-textaid/,https://www.youtube.com/watch?v=6wVlUzGDku4,,,Updated the browser extention specifications in system requirements,"Short description and having a hard time finding where all applicable platforms are confirmed. ✔
In the YT video description we can confirm browser extension on Windows but can't confirm other platforms."
276,,,I,,F,,,,,,,,,V,,,,,,,,,,I,,,,rebokeh,ReBokeh,ReBokeh,"The ReBokeh App is a tool designed for people with low vision. It uses the camera on an iOS device to enhance what the user sees by allowing them to adjust various visual settings. These adjustments include changing contrast, brightness, and colors, applying inversion filters, and using zoom to make objects and text larger.",https://www.rebokeh.com/,https://youtu.be/WwJvlKEDmdA?si=_37Nln4ywnsZGNnk,,,,
277,,,I,,F,T,,S,,R,,,,,,,,,,,M,,P,I,,,"iOS 15.0 or later,  iPadOS 15.0 or later, macOS 12.0 or later and a Mac with Apple M1 chip or later",odiofy,RLAM FZCO,Odiofy ,"Odiofy is a audio text reader that turns any reading material into an interactive audiobook. It can convert books, PDFs, and web articles into audio. Users can control reading speed, import documents from iCloud or local files, and scan book pages with built-in camera. Odiofy also offers personalized voices and dyslexia-friendly fonts for an improved listening and reading experience. ",https://apps.apple.com/us/app/text-to-speech-odiofy/id1499125748,https://youtu.be/2Cjg99I4ue8,,,,
278,,,I,,,TT,L,,,,,,,,,,,S,,,,,P,I,,,"iPhone 6 running iOS 15
iPad Air running iOS 15
iPad mini 4 running iOS 15",saltillo_touchchataac,Saltillo,TouchChat AAC App,"TouchChat AAC (Augmentative and Alternative Communication) is a mobile app designed to help individuals with speech or communication difficulties express themselves using symbol-based and text-to-speech communication. It’s widely used by people with autism, cerebral palsy, Down syndrome, and other speech-related challenges. The app is customizable to suit each user’s communication needs and is available on iOS devices such as iPads and iPhones.",https://touchchatapp.com/,https://www.youtube.com/watch?v=ZlceYkiwisA&ab_channel=PRC-SaltilloAACApps,,fixed OS specific requirements and re-worded for better description,,"This app is not directly related to computer access. 

Lacks specific OS requirements.

Description is too marketing-isk and could be revised. Consider giving a brief intorduction of the tool in the first sentence."
279,,,I,,F,,,,,,,,,V,,,,,,,,,P,,A,,"iOS 14.0 or later, Android 14 and up",scriptalk,ScriptAbility ,ScripTalk,"ScripTalk Talking Prescription Labels are based on RFID text-to-speech technology and are intended to assist in providing better care for patients who are blind or have trouble reading print. The patients can hear all of their important prescription information read aloud by this smartphone app. This information includes the name of drug, its dosage, and directions, any cautionary notes and restrictions, pharmacy data, name of the doctor and the date and prescription number.",https://www.scriptability.com/scriptalk-talking-labels,https://www.youtube.com/watch?v=EF6ptEj7MsA,,,,
280,,,I,,F,,,,,,,,,,,,,S,,W,M,C,P,I,A,,,pi_com_communicatorapp,Sensory App House Ltd.,PiCom Communicator for AAC,"PiCom is an application designed for Augmentative and Alternative Communication (AAC). It enables users to communicate using picture symbols, with options for text-to-speech or recorded voice output. This app is intended to assist individuals who have difficulty speaking and for whom symbol-based communication is considered appropriate.",https://www.sensoryapphouse.com/sensorypicom/,https://www.youtube.com/watch?v=3J3WQ8HL-k4,,,,designed to assist people who have difficulty speaking and for whom symbol communication is deemed approproiate. 
281,,O,,,F,,,S,,R,,,,V,B,,,,,W,M,C,P,I,A,O,any browser,robobraille,Sensus,Robobraille,"RoboBraille is a service designed to enhance accessibility for individuals with vision or reading difficulties. It is Free to individuals (only).  (Paid for organizatons).   Converts almost any text, web page, document, or picture of text into accessible forms.  Accessible formats for output include  including TXT, PDF, MP3 audio, DAISY full text and audio, DAISY Math full text and audio, Braille, and E-book.  Supported file types are .DOC, .DOCX, .PDF, .PPT, .PPTX, .TXT, .XML, .HTML, .HTM, .RTF, .EPUB, .MOBI, .TIFF, .TIF, .GIF, .JPG, .JPEG, .BMP, .PNG, .PCX, .DCX, .J2K, .JP2, .JPX, .DJV, .TEX, .ZIP and .ASC",https://www.robobraille.org/,"https://www.youtube.com/watch?v=qhtrmHx7a80
https://www.youtube.com/watch?v=mOD0kvLf2Io
https://www.youtube.com/watch?v=KEVlEZxvFjE
https://www.youtube.com/watch?v=2GYKyziFQ9A",,,,
282,,,I,,,T,,S,,,,,,,,,,S,,W,,,P,,,,"Windows 10 or 11, iPadOS 12.2 or later",smartbox_grid3,Smartbox Assistive Technology,Grid 3,"Grid 3 is an advanced communication software designed to facilitate interaction for individuals with communication challenges. It offers a variety of symbol-based augmentative and alternative communication (AAC) tools that enable users to express themselves effectively. In addition to communication, Grid 3 provides features that allow users to control their environment, such as operating smart home devices, computers, and other accessible technology.",https://thinksmartbox.com/try-grid/,https://www.youtube.com/watch?v=_gRoHaMYSMM&list=PL9jFik0qDiMItQCDWE0mfpCyH8BdMTMS4,,,,
283,,,I,,,T,,S,,,W,,,,,,,,,W,M,C,P,I,A,,"macOS 11.1 or later
Windows 10 or later
Chrome v109 or later
iOS 15 / iPadOS 15
Android 8",text_expander,Smile Software,TextExpander,"TextExpander is a productivity tool that allows users to store and quickly insert frequently used text snippets. Users can create custom abbreviations or phrases and use them to expand the desired text with keystrokes, saving time and improving efficiency. By reducing the need for repetitive typing, TextExpander can help individuals with communicate more effectively and efficiently.",https://textexpander.com/what-is-textexpander,https://www.youtube.com/watch?v=HmuBmAtR9xc,,,,
284,,,I,,F,,L,S,,,,,C,V,,,,,,,,,,,A,,"iOS 15.0 or late, iPadOS 15.0 or later, Android
7.0 and up",piccybot_Android,Sparkling Design and Infotech Private Limited,PiccyBot  - Android,"PiccyBot converts photos and videos into spoken descriptions, allowing users to ask questions about specific details using text or voice. The app provides clear descriptions of images and allows users to zoom in on parts of an image and ask about particular details. The app also offers a premium version with features like personalized voice options, control over the AI model's personality and output length, and easy sharing of audio and descriptions.",https://play.google.com/store/apps/details?id=com.sparklingapps.piccybot,https://youtu.be/AnigBgi-_Ow,,,,
285,,,I,,F,,L,S,,,,,C,V,,,,,,,,,P,I,,,"iOS 15.0 or late, iPadOS 15.0 or later, Android
7.0 and up",piccybot_ios,Sparkling Design and Infotech Private Limited,PiccyBot - iOS,"PiccyBot converts photos and videos into spoken descriptions, allowing users to ask questions about specific details using text or voice. The app provides clear descriptions of images and allows users to zoom in on parts of an image and ask about particular details. The app also offers a premium version with features like personalized voice options, control over the AI model's personality and output length, and easy sharing of audio and descriptions.",https://apps.apple.com/us/app/piccybot/id6476859317,https://youtu.be/AnigBgi-_Ow,,,,
286,,,I,,F,,L,,,,,,,,,,,S,,,,,,I,A,,"iPhone and iPad: Requires iOS 12.0 or later.
iPod touch: Requires iOS 11.0 or later.
Mac: Requires macOS 11.0 or later and a Mac with Apple M1 chip or later.",speech_assistant_aac,Speech Assistant BV,SpeechAssistant AAC,"SpeechAssistant AAC is an augmentative and alternative communication (AAC) app designed for people who have difficulty speaking, converting typed text into speech with customizable options.",https://apps.apple.com/us/app/speech-assistant-aac/id1139762358,https://www.youtube.com/watch?v=DfFBLGMCfu8,,,,"It is marked as Free and Subscription based both, please recheck. the video provided in the link is 17 minutes long. If this is the same app you can use this link - https://www.youtube.com/watch?v=DfFBLGMCfu8"
287,,,I,,F,,,,,,,,,,,,,,T,,,,,I,A,,"iOS 11.0 and later
Android 5.0",speechblubs,Speech Blubs,Speech Blubs,"Speech Blubs is a speech therapy app that helps children with speech delays and communication challenges. It includes interactive games and fun videos to encourage speech practice and improve pronunciation. The app includes voice-controlled activities, providing instant feedback to enhance learning and offers progress tracking for parents and therapists to monitor improvements.",https://speechblubs.com/,https://www.youtube.com/watch?v=La5sflew6kM,,,,
288,,,I,,,,L,,,R,,,,,,,,,,W,M,C,P,I,A,,"Requires Android 8.1 and up, macOS 13.0 or later, and Windows 10 version 18362.0 or higher",speech_central,Speech Central ,Speech Central AI Voice Reader,"It uses advanced AI-driven speech synthesis to read aloud content from websites, papers, emails, eBooks, and news feeds, allowing users to listen instead of read—useful for those with visual or reading difficulties. The program supports various document types, including Word, PDF, PowerPoint, and eBooks (such as DAISY and EPUB). It also reads articles, RSS feeds, and webpage content, supports multiple languages, and automatically identifies the language of the content. Users can adjust voice settings like pitch and speed, and use features like highlighting and annotations, which can be exported with the content.",https://speechcentral.net/,https://www.youtube.com/watch?v=LARhbIBu8uk,,,,"1. Missing OS version details for other platforms: Requires Android 8.1 and up, macOS 13.0 or later, and Windows 10 version 18362.0 or higher. 
2. Description could be shorter as ""It uses advanced AI-driven speech synthesis to read aloud content from websites, papers, emails, eBooks, and news feeds, allowing users to listen instead of read—useful for those with visual or reading difficulties. The program supports various document types, including Word, PDF, PowerPoint, and eBooks (such as DAISY and EPUB). It also reads articles, RSS feeds, and webpage content, supports multiple languages, and automatically identifies the language of the content. Users can adjust voice settings like pitch and speed, and use features like highlighting and annotations, which can be exported with the content."""
289,,O,I,,,T,,S,BE,R,,,,,,,,,,W,M,C,P,I,A,O,"iOS: Requires iOS 16.0 or later. 
iPad: Requires iPadOS 16.0 or later. 
Mac: Requires macOS 14.0.0 or later and a Mac with Apple M1 chip or later. 
Microsoft Edge: Speechify can be installed as a Microsoft Edge add-on.",speechify,Speechify Inc.,Speechify,"Speechify is a text-to-speech software designed to convert written content, such as documents, PDFs, books, and emails, into spoken words. It helps individuals who find reading challenging, including those with dyslexia, by allowing them to listen to text instead. This tool makes written materials more accessible and supports users in improving comprehension, reducing strain, and interacting with content in a way that suits their needs.",https://speechify.com/,https://www.youtube.com/watch?v=A_0DMgvW7bg,,,,available for chrome extension as well
290,,O,,,F,,,,N,,W,E,C,,,H,P,,,W,M,C,P,I,A,,,speechtexter,SpeechTexter,SpeechTexter,"SpeechTexter is a multilingual speech-to-text application designed for transcribing notes, documents, reports, and more using voice input. It features a customizable voice commands list, allowing users to add punctuation marks and frequently used phrases. The app is commonly used by students, teachers, and writers, with accuracy levels above 90%, depending on language and speaker. It requires no installation or registration, offering a simple and accessible tool for voice-to-text conversion.",https://www.speechtexter.com/,https://www.youtube.com/watch?v=Pyzl_nwfdkQ,,,,"- Language of description sounds promotional  ✔
"
291,,,I,,F,,,,,,,,,V,,,,,,,,,,,,E,"Mac Os 10.14 or later Safari extension, Google Chrome 33, Safari 10, Opera 15, Firefox 64, Microsoft Edge 76 and higher.",stevan_vd_zoom,Stefan Van Damme,Zoom in Extension,"Zoom in is a browser extension that magnifies web content, making it easier to read and understand small text or images.",https://www.stefanvd.net/project/zoom/browser/,https://youtu.be/vNJ2FfBrn70?si=uBjuYbu-XNH7UXms,,,,The description could be a little bit more detailed.
292,,,I,,F,,,S,,R,,,,,,,,,,,,,,,,E,,swiftread_reading,SwiftRead,Swift Read,"SwiftRead is a browser extension that helps users read digital content faster by using speed-reading techniques. It breaks text into manageable chunks and displays them rapidly, which can improve reading speed and comprehension. SwiftRead is popular among students, professionals, and avid readers who want to consume large amounts of text quickly and efficiently.",https://swiftread.com/,https://www.youtube.com/watch?v=-EMBVKT5RhM&ab_channel=DennyHammond,,,,
293,,,I,,,T,L,,,,,,,,,,,,T,,,,P,I,A,,iOS 9.0 and later,tactus_languagetherapy,Tactus Therapy,Language Therapy 4-in-1,"The language Therapy app supports individuals with language disorders, including aphasia, stroke and traumatic brain injury. The app provides therapy exercises to improve language skills focusing on four key areas: Naming, Sentence Building, Auditory Comprehension, and Reading Comprehension. ",https://tactustherapy.com/app/language/,https://www.youtube.com/watch?v=ZgfApcDG9sQ,,,,works with iPads too
294,,,I,,,,,S,,,,,,,,,,,T,,,,P,I,A,,iOS 9.0 and later,tactus_visualattention,Tactus Therapy,Visual Attention Therapy (lite & full version),"Visual Attention Therapy is a cognitive rehabilitation app that helps individuals improve their visual attention skills, particularly those resulting from brain injuries, strokes, or neurological conditions, by focusing on improving the ability to notice, process, and respond to visual stimuli. The exercises target different aspects of visual attention and allows users to customize difficulty levels based on their individual needs.",https://tactustherapy.com/app/vat/,https://www.youtube.com/watch?v=489jx0OThic&t=71s,,,,"The S is supposed to be in column F, instead of cognitive impairments you can say 'those who have trouble holding attention' for inclusivity"
295,,,I,,,T,L,,,R,,,,,,,,,,W,,,,,A,,"Windows 7, 8, 10, and 11",talking_clipboard,Talking Clipboard,Talking Clipboard,"Talking Clipboard is a text-to-speech app for compatible Android devices. It can read ePub Books, text, or HTML files (by converting webpage articles to text). It can also read text copied from any application using a read clipboard feature available through the notification/status bar. Talking Clipboard requires the installation of OI File Manager from the Android market.",https://talking-clipboard.soft112.com/,https://youtu.be/PqxBs4Y-ogg?si=um2kfAZ6sm76VioL,,,The YouTube video shows one of Talking Clipboard's features.,The price for the tool after the free trial is $14.99
296,,,I,,F,,,,,,,,,,,,P,,,W,M,C,P,I,A,,"10.14 (Mojave) & macOS 14 (Sonoma) / Windows
iOS 9.0 or later for Mobile
",inference_dasher,The Inference Group,Dasher,"Dasher is designed to help people with physical difficulties and therefore this is where it is most accessible. It can be accessed using any pointing device but people are particularly excited about the use of eye tracking technologies. Although these systems are in their infancy a few are emerging that, coupled with Dasher, could provide severely disabled people with a method of producing text in a fast and comfortable manner. For those with decent head movement a head pointer could provide a cheaper, and more established, solution.",https://www.bltt.org/software/dasher/,https://www.youtube.com/watch?v=HzbBTIhd4TU,,,"https://www.inference.org.uk/dasher/Download.html this has tutorial text in different languages
Android shows supported but I still cannot find the minimum requirements for operation.","The product also helps in cognitive and visual access, as stated on the website. The dasher can work on othe Mac OS version as well. Dasher also has mobile version; both iOS and Android."
297,,,I,,,,L,S,,,,,,,,,,S,,,,,P,I,A,,iPad and iPhone iOS 13 and later + Android phones and tablets running OS12,predictable_aac_app,Therapy Box Limited,Predictable - AAC App,"Predictive is application that provides a text-to-speech using smart word prediction, available in 43 languages. ",https://www.therapybox.co.uk/predictable-english,"https://www.youtube.com/watch?v=-GI62_i2Qac
https://youtu.be/_GTLKzBNGXA",,,,
298,,,I,,,,L,,,,,,,V,,,,,,,,,,I,,,iOS 11.4 or later,over_40,TLA Investments LLC,Over 40,Over 40 Magnifier and Flashlight is a video magnification app. It also has features that accomdate both right and left handed users.,https://apps.apple.com/us/app/over-40/id381663967,https://youtu.be/MDl9XlBAg04?feature=shared,,"Approximate cost: $1.99
there are also in-app purchases
""Disable Ads Forever"" feature = $0.99",The vendor website does not exist even though the link is posted on the app store.,"1. Price is 1.99, and description says there are also in-app purchases
""Disable Ads Forever"" feature = $0.99
2. Remove ""app is designed for use by individuals with low vision""
3. Vendor site isn't working for me either"
299,,,I,,,T,,S,,,,,,,,,,S,,,,,P,,,,Requires iPadOS 13.0 or later,tdsnap,TobiiDynavox,TD Snap,"TD Snap offers different communication solutions for people with communication disabilities. It has a variety of page sets that individuals, professionals, and families can choose from to find the best fit for their needs. Some page sets are made by Tobii Dynavox, while others are created by third parties and can be bought within the app. All TD Snap page sets can be accessed by touch, switch, or keyguard and have clear speech output. They also include helpful tools like search, editing, visual supports, and Google Assistant. ",https://us.tobiidynavox.com/products/td-snap,https://www.youtube.com/watch?v=7rrC7MkQWHw,,,,
